97,47,60,54,19,8,2,48,2,41
87,18,26,29,78,39,15,3,10,40
19,23,66,89,0,3,11,25,63,16
36,80,43,51,52,88,4,30,58,17
94,70,41,96,13,84,36,14,78,81
43,6,73,5,53,34,51,21,33,89
66,84,69,4,52,25,24,72,27,31
62,70,96,79,26,96,62,31,41,48
87,69,79,67,11,95,92,36,68,61
24,8,18,15,53,6,81,30,27,49
入れ替え:1番目（97）,2番目（47）
入れ替え:2番目（97）,3番目（60）
入れ替え:3番目（97）,4番目（54）
入れ替え:2番目（60）,3番目（54）
入れ替え:4番目（97）,5番目（19）
入れ替え:3番目（60）,4番目（19）
入れ替え:2番目（54）,3番目（19）
入れ替え:1番目（47）,2番目（19）
入れ替え:5番目（97）,6番目（8）
入れ替え:4番目（60）,5番目（8）
入れ替え:3番目（54）,4番目（8）
入れ替え:2番目（47）,3番目（8）
入れ替え:1番目（19）,2番目（8）
入れ替え:6番目（97）,7番目（2）
入れ替え:5番目（60）,6番目（2）
入れ替え:4番目（54）,5番目（2）
入れ替え:3番目（47）,4番目（2）
入れ替え:2番目（19）,3番目（2）
入れ替え:1番目（8）,2番目（2）
入れ替え:7番目（97）,8番目（48）
入れ替え:6番目（60）,7番目（48）
入れ替え:5番目（54）,6番目（48）
入れ替え:8番目（97）,9番目（2）
入れ替え:7番目（60）,8番目（2）
入れ替え:6番目（54）,7番目（2）
入れ替え:5番目（48）,6番目（2）
入れ替え:4番目（47）,5番目（2）
入れ替え:3番目（19）,4番目（2）
入れ替え:2番目（8）,3番目（2）
入れ替え:9番目（97）,10番目（41）
入れ替え:8番目（60）,9番目（41）
入れ替え:7番目（54）,8番目（41）
入れ替え:6番目（48）,7番目（41）
入れ替え:5番目（47）,6番目（41）
入れ替え:10番目（97）,11番目（87）
入れ替え:11番目（97）,12番目（18）
入れ替え:10番目（87）,11番目（18）
入れ替え:9番目（60）,10番目（18）
入れ替え:8番目（54）,9番目（18）
入れ替え:7番目（48）,8番目（18）
入れ替え:6番目（47）,7番目（18）
入れ替え:5番目（41）,6番目（18）
入れ替え:4番目（19）,5番目（18）
入れ替え:12番目（97）,13番目（26）
入れ替え:11番目（87）,12番目（26）
入れ替え:10番目（60）,11番目（26）
入れ替え:9番目（54）,10番目（26）
入れ替え:8番目（48）,9番目（26）
入れ替え:7番目（47）,8番目（26）
入れ替え:6番目（41）,7番目（26）
入れ替え:13番目（97）,14番目（29）
入れ替え:12番目（87）,13番目（29）
入れ替え:11番目（60）,12番目（29）
入れ替え:10番目（54）,11番目（29）
入れ替え:9番目（48）,10番目（29）
入れ替え:8番目（47）,9番目（29）
入れ替え:7番目（41）,8番目（29）
入れ替え:14番目（97）,15番目（78）
入れ替え:13番目（87）,14番目（78）
入れ替え:15番目（97）,16番目（39）
入れ替え:14番目（87）,15番目（39）
入れ替え:13番目（78）,14番目（39）
入れ替え:12番目（60）,13番目（39）
入れ替え:11番目（54）,12番目（39）
入れ替え:10番目（48）,11番目（39）
入れ替え:9番目（47）,10番目（39）
入れ替え:8番目（41）,9番目（39）
入れ替え:16番目（97）,17番目（15）
入れ替え:15番目（87）,16番目（15）
入れ替え:14番目（78）,15番目（15）
入れ替え:13番目（60）,14番目（15）
入れ替え:12番目（54）,13番目（15）
入れ替え:11番目（48）,12番目（15）
入れ替え:10番目（47）,11番目（15）
入れ替え:9番目（41）,10番目（15）
入れ替え:8番目（39）,9番目（15）
入れ替え:7番目（29）,8番目（15）
入れ替え:6番目（26）,7番目（15）
入れ替え:5番目（19）,6番目（15）
入れ替え:4番目（18）,5番目（15）
入れ替え:17番目（97）,18番目（3）
入れ替え:16番目（87）,17番目（3）
入れ替え:15番目（78）,16番目（3）
入れ替え:14番目（60）,15番目（3）
入れ替え:13番目（54）,14番目（3）
入れ替え:12番目（48）,13番目（3）
